record_id,community_id,employer_name,locations,sector,recruiting_status,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status,notes
thunder-bay|1902037-ontario-ltd-fort-william-curling-club-kitchen-218vickersstnthunderbay,thunder-bay,1902037 Ontario Ltd.- Fort William Curling Club Kitchen,"218 Vickers St N, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|1928147-ontario-inc-crown-birch-825fortwilliamrdthunderb,thunder-bay,1928147 Ontario Inc.- Crown & Birch,"825 Fort William Rd, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|1northwest-security-services-inc-105maystreetnsuite217thu,thunder-bay,1Northwest Security Services Inc,"105 May Street N, Suite 217 Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|2080061-ontario-inc-skycare-air-ambulance-304hectordougallwaythund,thunder-bay,2080061 Ontario Inc.- SkyCare Air Ambulance,"304 Hector Dougall Way, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|2269135-ontario-inc-wackys-eat-drink-game-on-540highstreetsthunderbay,thunder-bay,2269135 Ontario Inc. - Wackys Eat Drink Game On,"540 High Street S, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|2342555-ontario-inc-nurse-next-door-250algomastreetsouththun,thunder-bay,2342555 Ontario Inc. Nurse Next Door,"250 Algoma Street South, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|2528689-ontario-inc-half-way-motors-power-sports-1230carrickstunitathunde,thunder-bay,2528689 Ontario Inc.- Half-Way Motors Power Sports,"1230 Carrick St. Unit A, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|2666375-ontario-limited-relax-motel-387cumberlandstreetnthun,thunder-bay,2666375 Ontario Limited- Relax Motel,"387 Cumberland Street N, Thunder Bay 2782588- Terralux General Contractors and Development Limited 820 Gordon Street, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|2853345-ontario-inc-osaka-sushi-801centralavethunderbay,thunder-bay,2853345 Ontario Inc- Osaka Sushi,"801 Central Ave, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|2854931-ontario-inc-mobilecare-1000fortwilliamrdunit52b,thunder-bay,2854931 Ontario Inc. - Mobilecare,"1000 Fort William Rd, Unit 52B, P7B 6B9, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|366956-ontario-ltd-garden-lake-timber-433highway527shuniah,thunder-bay,366956 Ontario Ltd.- Garden Lake Timber,433 HIGHWAY 527 Shuniah,,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|587435-ontario-inc-drd-construction-517nhardistystreetthunde,thunder-bay,587435 Ontario Inc.- DRD Construction,"517 N. Hardisty Street, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|a1-concrete-inc-1199russellstreet,thunder-bay,A1 Concrete Inc.,1199 Russell Street,,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|aarons-sales-and-leasing-ncr-leasing-1174rolandstreetthunderb,thunder-bay,Aarons Sales and Leasing (NCR Leasing),"1174 Roland Street, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|aba-dental-clinic-995amemorialavenuethunde,thunder-bay,ABA DENTAL CLINIC,"995-A Memorial Avenue, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|ace-automotive-113leithstreetthunderbay,thunder-bay,Ace Automotive,"113 Leith Street, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|advantage-pharmacy-1165bartonstthunderbay,thunder-bay,Advantage pharmacy,"1165 Barton St, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|ali-davoudpour-dentistry-professional-corporation-intercity-dental-centre-2011000fortwilliamrd,thunder-bay,Ali Davoudpour Dentistry Professional Corporation- Intercity Dental Centre,201-1000 Fort William Rd.,,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|allen-equipment-contracting-corporation-allen-contracting-corp-36rubindrmurillo,thunder-bay,Allen Equipment Contracting Corporation- Allen Contracting Corp,"36 Rubin Dr, Murillo",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
